architecture,unet,pspnet,pspnet,pspnet,deeplabv3,deeplabv3,deeplabv3,deeplabv3plus,deeplabv3plus,deeplabv3plus,segformer,segformer,segformer,segformer,segformer,segformer,segformer,segformer,segformer,segformer,segformer,segformer,upernet,upernet,upernet,upernet,upernet,mask2former,mask2former,mask2former,mask2former,mask2former,upernet,upernet,pspnet,pspnet,deeplabv3,deeplabv3,deeplabv3plus,deeplabv3plus,segformer,segformer,segformer,segformer,segformer,segformer,upernet,upernet,upernet,upernet,upernet,upernet,mask2former,mask2former,mask2former,mask2former,mask2former,mask2former,pspnet,pspnet,deeplabv3,deeplabv3,deeplabv3plus,deeplabv3plus,segformer,segformer,segformer,segformer,segformer,segformer,upernet,upernet,upernet,mask2former,mask2former,mask2former
backbone,custom,resnet50,resnet101,resnet18,resnet50,resnet101,resnet18,resnet50,resnet101,resnet18,mit-b0,mit-b1,mit-b2,mit-b3,mit-b4,mit-b5,mit-b0,mit-b1,mit-b2,mit-b3,mit-b4,mit-b5,internimage-t,internimage-s,internimage-b,internimage-l,internimage-xl,resnet50,resnet101,swin-t,swin-s,swin-b,beit-b,beit-l,resnet50,resnet101,resnet50,resnet101,resnet50,resnet101,mit-b0,mit-b1,mit-b2,mit-b3,mit-b4,mit-b5,internimage-t,internimage-s,internimage-b,internimage-l,internimage-xl,internimage-h,resnet50,resnet101,swin-t,swin-s,swin-b,swin-b,resnet50,resnet101,resnet50,resnet101,resnet50,resnet101,mit-b0,mit-b1,mit-b2,mit-b3,mit-b4,mit-b5,internimage-t,internimage-s,internimage-b,swin-t,swin-s,swin-b
type_backbone,convolution,convolution,convolution,convolution,convolution,convolution,convolution,convolution,convolution,convolution,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,transformer,convolution,convolution,convolution,convolution,convolution,convolution,convolution,transformer,transformer,transformer,transformer,transformer,convolution,convolution,convolution,convolution,convolution,convolution,transformer,transformer,transformer,transformer,transformer,transformer,convolution,convolution,convolution,convolution,convolution,convolution,convolution,convolution,transformer,transformer,transformer,transformer,convolution,convolution,convolution,convolution,convolution,convolution,transformer,transformer,transformer,transformer,transformer,transformer,convolution,convolution,convolution,transformer,transformer,transformer
dataset,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,cityscapes,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,ade20k,voc,voc,voc,voc,voc,voc,voc,voc,voc,voc,voc,voc,voc,voc,voc,voc,voc,voc
crop_size,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,1024x1024,1024x1024,1024x1024,1024x1024,1024x1024,1024x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,512x1024,640x640,640x640,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,640x640,640x640,896x896,512x512,512x512,512x512,512x512,640x640,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512,512x512
aAcc_clean,94.91,96.14,96.33,95.56,96.32,96.44,95.89,96.44,96.57,95.97,94.77,95.41,95.88,96.14,96.21,96.25,95.92,96.27,96.55,96.72,96.72,96.72,96.82,96.78,96.83,97.03,97.02,96.53,96.41,96.65,96.78,96.37,84.63,85.97,80.29,81.10,80.58,81.35,81.09,81.62,77.70,79.54,81.25,82.49,82.73,82.84,82.52,82.89,83.35,84.01,84.50,86.10,82.06,82.38,83.00,83.73,83.67,82.15,94.94,95.29,95.00,95.16,94.77,95.23,92.78,94.17,95.13,95.66,95.61,95.66,86.40,85.71,85.44,96.23,96.50,96.56
mIoU_clean,69.10,78.66,79.74,74.86,79.29,80.31,76.70,80.01,81.04,76.89,69.06,73.09,75.98,77.80,78.26,79.17,76.54,78.56,81.07,81.94,81.89,82.25,82.58,82.75,83.18,83.68,83.62,80.44,80.80,81.71,82.57,80.03,53.08,56.33,42.48,44.39,42.66,45.00,43.95,45.47,37.41,40.97,45.58,47.82,48.46,49.13,47.60,49.77,50.46,52.62,53.91,57.84,47.48,48.45,48.57,50.61,52.44,47.55,77.29,78.52,77.68,77.92,76.81,78.62,69.54,74.71,78.41,80.74,80.50,80.95,44.96,43.63,44.67,82.61,83.94,83.81
mAcc_clean,76.76,85.25,86.56,82.07,86.42,87.16,84.29,86.92,87.88,84.76,77.76,81.44,84.17,86.23,85.90,86.47,83.86,85.43,87.66,88.28,88.74,88.74,88.51,88.83,88.99,89.74,89.26,87.21,87.50,89.10,89.21,88.97,64.45,68.40,52.40,54.74,53.11,55.81,54.93,56.41,48.44,51.73,57.20,59.27,60.54,60.69,58.66,61.35,62.68,65.80,66.64,70.37,61.06,61.95,62.14,63.59,66.44,60.67,85.56,86.11,86.49,85.76,85.45,86.55,82.52,85.07,88.82,89.89,89.65,90.50,57.90,59.57,61.27,91.52,92.93,91.93
aAcc_2d_gaussian_noise,50.64,41.89,34.54,62.20,40.53,56.56,74.15,42.73,43.99,33.51,81.9,73.21,81.87,87.76,87.68,86.80,84.99,87.23,90.82,92.53,93.71,93.59,84.72,87.09,89.78,95.76,95.80,29.64,52.27,92.85,93.89,92.60,80.59,83.81,70.02,70.87,31.05,31.05,71.58,72.82,70.21,72.74,77.57,78.91,79.84,80.39,78.71,78.77,78.85,82.60,83.54,84.51,71.33,69.99,80.56,80.91,80.61,79.84,89.82,90.63,90.89,91.69,91.16,91.69,89.96,91.73,93.76,94.59,94.92,94.79,81.75,82.89,82.33,94.69,95.73,95.59
mIoU_2d_gaussian_noise,9.22,12.41,10.48,15.58,14.03,19.73,25.08,13.08,18.11,2.21,36.2,28.83,34.51,46.7,47.34,44.64,42.83,48.39,58.08,62.87,67.46,68.37,47.95,53.72,56.87,76.58,76.53,10.08,15.64,61.73,67.21,64.71,44.82,51.99,24.96,26.01,4.25,4.25,26.87,28.51,26.52,29.67,39.23,41.77,43.53,45.04,41.78,42.23,41.93,50.01,52.11,53.76,29.27,28.41,44.38,45.23,46.62,43.55,58.83,63.47,61.67,65.44,63.45,65.27,61.14,67.38,73.16,76.46,77.96,77.99,30.84,41.71,33.64,75.88,81.52,80.13
mAcc_2d_gaussian_noise,13.66,17.39,17.79,22.16,22.82,28.62,31.06,17.29,27.38,4.98,45.01,37.6,44.01,55.48,59.78,54.17,48.69,56.98,65.59,72.12,75.17,76.18,54.69,60.05,62.92,84.57,83.70,16.05,22.18,73.78,77.74,76.40,54.72,61.91,30.51,31.82,7.17,7.17,33.61,34.96,34.57,37.59,49.25,51.42,53.27,55.33,51.53,52.62,52.51,63.70,64.49,63.90,38.17,38.25,56.57,57.89,60.06,55.66,72.16,77.50,72.46,77.71,75.36,78.51,75.96,79.19,84.16,86.18,87.10,88.35,41.03,60.98,44.14,87.34,90.97,88.98
